compound,start_value,end_value,delta,normalize_delta
C00417,100,181,81,0.81
C00418,100,72,-28,0.28
C00419,100,136,36,0.36
C00420,100,113,13,0.13
C00422,100,115,15,0.15
C00423,100,23,-77,0.77
C00424,100,244,144,1.44
C00426,100,100,0,0.0
C00427,100,0,-100,1.0
C00429,100,103,3,0.03
C00430,100,1,-99,0.99
C00431,100,53,-47,0.47
C00433,100,307,207,2.07
C00434,100,100,0,0.0
C00436,100,111,11,0.11
C00437,100,9,-91,0.91
C00438,100,131,31,0.31
C00439,100,134,34,0.34
C00440,100,227,127,1.27
C00441,100,1,-99,0.99
C00445,100,146,46,0.46
C00446,100,156,56,0.56
C00447,100,40,-60,0.6
C00448,100,0,-100,1.0
C00449,100,80,-20,0.2
C00450,100,47,-53,0.53
C00451,100,59,-41,0.41
C00454,100,347,247,2.47
C00455,100,18,-82,0.82
C00458,100,0,-100,1.0
C00459,100,0,-100,1.0
C00460,100,42,-58,0.58
C00461,100,133,33,0.33
C00462,100,215,115,1.15
C00463,100,132,32,0.32
C00464,100,119,19,0.19
C00466,100,36,-64,0.64
C00468,100,164,64,0.64
C00469,100,1,-99,0.99
C00470,100,279,179,1.79
C00472,100,104,4,0.04
C15602,100,0,-100,1.0
C00473,100,0,-100,1.0
C17276,100,85,-15,0.15
C00474,100,104,4,0.04
C00475,100,1,-99,0.99
C00476,100,135,35,0.35
C00477,100,128,28,0.28
C00478,100,100,0,0.0
C00479,100,1,-99,0.99
C00481,100,85,-15,0.15
C00482,100,179,79,0.79
C00483,100,46,-54,0.54
C00484,100,100,0,0.0
C00486,100,74,-26,0.26
C00487,100,23,-77,0.77
C00488,100,51,-49,0.49
C00489,100,119,19,0.19
C00490,100,104,4,0.04
C00491,100,33,-67,0.67
C00492,100,1,-99,0.99
C00493,100,75,-25,0.25
C00494,100,100,0,0.0
C00495,100,98,-2,0.02
C00497,60,1,-59,0.98333
C00498,100,0,-100,1.0
C00499,100,86,-14,0.14
C00500,100,139,39,0.39
C00501,100,58,-42,0.42
C00502,100,81,-19,0.19
C00503,100,98,-2,0.02
C00504,100,133,33,0.33
C00505,100,92,-8,0.08
C00506,100,49,-51,0.51
C00507,100,119,19,0.19
C00508,100,142,42,0.42
C00509,100,0,-100,1.0
C00510,100,87,-13,0.13
C00511,100,106,6,0.06
C00512,100,0,-100,1.0
C00513,100,0,-100,1.0
C00514,100,27,-73,0.73
C00515,100,1,-99,0.99
C00516,100,100,0,0.0
C00517,100,133,33,0.33
C00518,100,100,0,0.0
C00519,100,148,48,0.48
C00521,100,105,5,0.05
C00522,100,88,-12,0.12
C00523,100,68,-32,0.32
C00524,100,55,-45,0.45
C00525,100,85,-15,0.15
C00526,100,78,-22,0.22
C00527,100,96,-4,0.04
C00528,100,100,0,0.0
C00530,100,199,99,0.99
C15603,100,198,98,0.98
C00531,100,229,129,1.29
C00532,100,63,-37,0.37
C00533,100,0,-100,1.0
C00534,100,0,-100,1.0
C00535,100,59,-41,0.41
C00536,100,144,44,0.44
C00538,100,87,-13,0.13
C00539,100,126,26,0.26
C00540,100,123,23,0.23
C00541,100,205,105,1.05
C00542,100,55,-45,0.45
C00543,100,168,68,0.68
C00544,100,21,-79,0.79
C00545,100,65,-35,0.35
C00546,100,172,72,0.72
C00547,100,99,-1,0.01
C00548,100,147,47,0.47
C15583,100,87,-13,0.13
C00549,100,100,0,0.0
C00550,100,105,5,0.05
C00551,100,100,0,0.0
C00552,100,138,38,0.38
C00553,100,76,-24,0.24
C00555,100,97,-3,0.03
C00556,100,80,-20,0.2
C03485,100,64,-36,0.36
C00557,100,103,3,0.03
C00558,100,146,46,0.46
C00559,100,57,-43,0.43
C00563,100,100,0,0.0
C00565,100,155,55,0.55
C00566,100,64,-36,0.36
C00568,100,0,-100,1.0
C00569,100,100,0,0.0
C00570,100,0,-100,1.0
C00571,100,131,31,0.31
C00574,100,100,0,0.0
C00575,8,0,-8,1.0
C00576,100,123,23,0.23
C00577,100,244,144,1.44
C00579,100,93,-7,0.07
C00580,100,166,66,0.66
C00581,100,99,-1,0.01
C00582,100,0,-100,1.0
C00583,100,4,-96,0.96
C00584,100,90,-10,0.1
C00586,100,138,38,0.38
C00587,100,234,134,1.34
C00588,100,128,28,0.28
C00590,100,0,-100,1.0
C00591,100,128,28,0.28
C00593,100,40,-60,0.6
C00596,100,162,62,0.62
C00597,100,100,0,0.0
C00599,100,152,52,0.52
C00601,100,183,83,0.83
C00602,100,83,-17,0.17
C00603,100,44,-56,0.56
C00604,100,100,0,0.0
C00605,100,0,-100,1.0
C00606,100,23,-77,0.77
C00607,100,100,0,0.0
C00609,100,0,-100,1.0
C00611,100,91,-9,0.09
C00612,100,100,0,0.0
C00616,100,99,-1,0.01
C00617,100,0,-100,1.0
C00618,100,26,-74,0.74
C00619,100,182,82,0.82
C00620,100,397,297,2.97
C00621,100,75,-25,0.25
C00623,100,92,-8,0.08
C00624,100,156,56,0.56
C00625,100,138,38,0.38
C00627,100,177,77,0.77
C00628,100,58,-42,0.42
C00630,100,0,-100,1.0
C00631,100,6,-94,0.94
C00632,100,106,6,0.06
C00633,100,205,105,1.05
C00634,100,97,-3,0.03
C00635,100,102,2,0.02
C00636,100,252,152,1.52
C00637,100,213,113,1.13
C00638,100,111,11,0.11
C00639,100,84,-16,0.16
C00640,100,6,-94,0.94
C00641,100,92,-8,0.08
C00642,100,99,-1,0.01
C00643,100,31,-69,0.69
C00644,100,52,-48,0.48
C00645,100,109,9,0.09
C00647,100,45,-55,0.55
C00650,100,98,-2,0.02
C00651,100,71,-29,0.29
C00652,100,108,8,0.08
C00653,100,93,-7,0.07
C00655,100,60,-40,0.4
C00658,100,134,34,0.34
C00659,100,100,0,0.0
C00661,100,100,0,0.0
C00662,100,61,-39,0.39
C00663,100,318,218,2.18
C00664,100,0,-100,1.0
C00665,100,49,-51,0.51
C00666,100,58,-42,0.42
C00668,100,133,33,0.33
C00669,100,13,-87,0.87
C00670,100,82,-18,0.18
C00671,100,10,-90,0.9
C00672,100,272,172,1.72
C00673,100,43,-57,0.57
C00674,100,115,15,0.15
C00676,100,125,25,0.25
C00679,100,230,130,1.3
C00680,100,105,5,0.05
C00681,100,138,38,0.38
C00682,100,146,46,0.46
C00683,100,0,-100,1.0
C00684,100,58,-42,0.42
C00686,100,120,20,0.2
C00688,100,134,34,0.34
C00689,100,101,1,0.01
C00691,100,46,-54,0.54
C00692,100,100,0,0.0
C00694,100,43,-57,0.57
C00695,100,0,-100,1.0
C00696,100,88,-12,0.12
C00697,100,206,106,1.06
C00698,100,779,679,6.79
C00700,100,93,-7,0.07
C00701,100,176,76,0.76
C00703,100,219,119,1.19
C00704,100,70,-30,0.3
C00705,100,109,9,0.09
C00706,100,118,18,0.18
C00707,100,100,0,0.0
C00708,100,54,-46,0.46
C00711,100,100,0,0.0
C00712,100,152,52,0.52
C00713,100,100,0,0.0
C00714,100,100,0,0.0
C00715,100,86,-14,0.14
C00716,100,35,-65,0.65
C00717,100,72,-28,0.28
C00718,100,271,171,1.71
C00719,100,84,-16,0.16
C00720,100,103,3,0.03
C01324,100,160,60,0.6
C00722,100,84,-16,0.16
C00723,100,95,-5,0.05
C00725,100,100,0,0.0
C00726,100,224,124,1.24
C00727,100,158,58,0.58
C00729,100,0,-100,1.0
C00732,100,100,0,0.0
C00734,100,113,13,0.13
C00735,100,0,-100,1.0
C00736,100,100,0,0.0
C00737,100,142,42,0.42
C00738,100,7,-93,0.93
C00739,100,0,-100,1.0
C00740,100,24,-76,0.76
C00741,100,87,-13,0.13
C00742,100,99,-1,0.01
C00744,100,100,0,0.0
C00745,100,5,-95,0.95
C00746,100,100,0,0.0
C00747,100,60,-40,0.4
C00748,100,15,-85,0.85
C00750,100,106,6,0.06
C00751,100,0,-100,1.0
C00752,100,100,0,0.0
C00753,100,100,0,0.0
C00755,100,118,18,0.18
C00756,100,91,-9,0.09
C00757,100,113,13,0.13
C00758,100,100,0,0.0
C00760,100,234,134,1.34
C00761,100,79,-21,0.21
C00762,100,157,57,0.57
C00763,100,175,75,0.75
C00764,100,166,66,0.66
C00765,100,100,0,0.0
C00766,100,105,5,0.05
C00768,100,100,0,0.0
C00770,100,56,-44,0.44
C00771,100,100,0,0.0
C00772,100,117,17,0.17
C00773,100,100,0,0.0
C00774,100,82,-18,0.18
C00777,100,97,-3,0.03
C00779,100,33,-67,0.67
C00780,100,90,-10,0.1
C00783,100,158,58,0.58
C00785,100,178,78,0.78
C00786,100,60,-40,0.4
C00787,100,162,62,0.62
C00788,100,101,1,0.01
C00789,100,66,-34,0.34
C00791,100,125,25,0.25
C00792,100,49,-51,0.51
C00793,100,108,8,0.08
C00794,100,91,-9,0.09
C00795,100,67,-33,0.33
C00796,100,100,0,0.0
C00797,100,142,42,0.42
C00798,100,90,-10,0.1
C00799,100,100,0,0.0
C00800,100,91,-9,0.09
C00801,100,157,57,0.57
